,year,co2
622,Year 1515,282.9
623,Year 1515,282.9
624,Year 1510,282.7
625,Year 1510,282.7
626,Year 1510,282.7
627,Year 1510,282.7
628,Year 1510,282.7
629,Year 1510,282.7
630,Year 1505,282.5
631,Year 1505,282.5
632,Year 1505,282.5
633,Year 1505,282.5
634,Year 1505,282.5
635,Year 1505,282.5
636,Year 1500,282.2
637,Year 1500,282.2
638,Year 1500,282.2
639,Year 1500,282.2
640,Year 1500,282.2
641,Year 1500,282.2
642,Year 1495,281.9
643,Year 1495,281.9
644,Year 1495,281.9
645,Year 1495,281.9
646,Year 1495,281.9
647,Year 1495,281.9
648,Year 1490,281.6
649,Year 1490,281.6
650,Year 1490,281.6
651,Year 1490,281.6
652,Year 1490,281.6
653,Year 1490,281.6
654,Year 1485,281.3
655,Year 1485,281.3
656,Year 1485,281.3
657,Year 1485,281.3
658,Year 1485,281.3
659,Year 1485,281.3
660,Year 1485,281.3
661,Year 1480,281
662,Year 1480,281
663,Year 1480,281
664,Year 1480,281
665,Year 1480,281
666,Year 1480,281
667,Year 1475,280.8
668,Year 1475,280.8
669,Year 1475,280.8
670,Year 1475,280.8
671,Year 1475,280.8
672,Year 1475,280.8
673,Year 1470,280.6
674,Year 1470,280.6
675,Year 1470,280.6
676,Year 1470,280.6
677,Year 1470,280.6
678,Year 1470,280.6
679,Year 1465,280.6
680,Year 1465,280.6
681,Year 1465,280.6
682,Year 1465,280.6
683,Year 1465,280.6
684,Year 1465,280.6
685,Year 1460,280.6
686,Year 1460,280.6
687,Year 1460,280.6
688,Year 1460,280.6
689,Year 1460,280.6
690,Year 1460,280.6
691,Year 1455,280.7
692,Year 1455,280.7
693,Year 1455,280.7
694,Year 1455,280.7
695,Year 1455,280.7
696,Year 1455,280.7
697,Year 1450,280.8
698,Year 1450,280.8
699,Year 1450,280.8
700,Year 1450,280.8
701,Year 1450,280.8
702,Year 1450,280.8
703,Year 1445,280.9
704,Year 1445,280.9
705,Year 1445,280.9
706,Year 1445,280.9
707,Year 1445,280.9
708,Year 1445,280.9
709,Year 1440,280.9
710,Year 1440,280.9
711,Year 1440,280.9
712,Year 1440,280.9
713,Year 1440,280.9
714,Year 1440,280.9
715,Year 1435,280.9
716,Year 1435,280.9
717,Year 1435,280.9
718,Year 1435,280.9
719,Year 1435,280.9
720,Year 1435,280.9
721,Year 1430,280.9
722,Year 1430,280.9
723,Year 1430,280.9
724,Year 1430,280.9
725,Year 1430,280.9
726,Year 1430,280.9
727,Year 1425,280.8
728,Year 1425,280.8
729,Year 1425,280.8
730,Year 1425,280.8
731,Year 1425,280.8
732,Year 1425,280.8
733,Year 1420,280.7
734,Year 1420,280.7
735,Year 1420,280.7
736,Year 1420,280.7
737,Year 1420,280.7
738,Year 1420,280.7
739,Year 1415,280.6
740,Year 1415,280.6
741,Year 1415,280.6
742,Year 1415,280.6
743,Year 1415,280.6
744,Year 1415,280.6
745,Year 1410,280.5
746,Year 1410,280.5
747,Year 1410,280.5
748,Year 1410,280.5
749,Year 1410,280.5
750,Year 1410,280.5
751,Year 1405,280.4
752,Year 1405,280.4
753,Year 1405,280.4
754,Year 1405,280.4
755,Year 1405,280.4
756,Year 1405,280.4
757,Year 1400,280.3
758,Year 1400,280.3
759,Year 1400,280.3
760,Year 1400,280.3
761,Year 1400,280.3
762,Year 1400,280.3
763,Year 1395,280.3
764,Year 1395,280.3
765,Year 1395,280.3
766,Year 1395,280.3
767,Year 1395,280.3
768,Year 1395,280.3
769,Year 1390,280.3
770,Year 1390,280.3
771,Year 1390,280.3
772,Year 1390,280.3
773,Year 1390,280.3
774,Year 1390,280.3
775,Year 1385,280.4
776,Year 1385,280.4
777,Year 1385,280.4
778,Year 1385,280.4
779,Year 1385,280.4
780,Year 1385,280.4
781,Year 1380,280.5
782,Year 1380,280.5
783,Year 1380,280.5
784,Year 1380,280.5
785,Year 1380,280.5
786,Year 1380,280.5
787,Year 1375,280.7
788,Year 1375,280.7
789,Year 1375,280.7
790,Year 1375,280.7
791,Year 1375,280.7
792,Year 1375,280.7
793,Year 1370,281
794,Year 1370,281
795,Year 1370,281
796,Year 1370,281
797,Year 1370,281
798,Year 1370,281
799,Year 1365,281.2
800,Year 1365,281.2
801,Year 1365,281.2
802,Year 1365,281.2
803,Year 1365,281.2
804,Year 1365,281.2
805,Year 1360,281.5
806,Year 1360,281.5
807,Year 1360,281.5
808,Year 1360,281.5
809,Year 1360,281.5
810,Year 1360,281.5
811,Year 1355,281.8
812,Year 1355,281.8
813,Year 1355,281.8
814,Year 1355,281.8
815,Year 1355,281.8
816,Year 1355,281.8
817,Year 1350,282.1
818,Year 1350,282.1
819,Year 1350,282.1
820,Year 1350,282.1
821,Year 1350,282.1
822,Year 1350,282.1
823,Year 1345,282.4
824,Year 1345,282.4
825,Year 1345,282.4
826,Year 1345,282.4
827,Year 1345,282.4
828,Year 1345,282.4
829,Year 1340,282.7
830,Year 1340,282.7
831,Year 1340,282.7
832,Year 1340,282.7
833,Year 1340,282.7
834,Year 1340,282.7
835,Year 1335,282.9
836,Year 1335,282.9
837,Year 1335,282.9
838,Year 1335,282.9
839,Year 1335,282.9
840,Year 1335,282.9
841,Year 1330,283.1
842,Year 1330,283.1
843,Year 1330,283.1
844,Year 1330,283.1
845,Year 1330,283.1
846,Year 1330,283.1
847,Year 1325,283.2
848,Year 1325,283.2
849,Year 1325,283.2
850,Year 1325,283.2
851,Year 1325,283.2
852,Year 1325,283.2
853,Year 1320,283.3
854,Year 1320,283.3
855,Year 1320,283.3
856,Year 1320,283.3
857,Year 1320,283.3
858,Year 1320,283.3
859,Year 1315,283.3
860,Year 1315,283.3
861,Year 1315,283.3
862,Year 1315,283.3
863,Year 1315,283.3
864,Year 1315,283.3
865,Year 1315,283.3
866,Year 1310,283.2
867,Year 1310,283.2
868,Year 1310,283.2
869,Year 1310,283.2
870,Year 1310,283.2
871,Year 1310,283.2
872,Year 1305,283.1
873,Year 1305,283.1
874,Year 1305,283.1
875,Year 1305,283.1
876,Year 1305,283.1
877,Year 1305,283.1
878,Year 1300,283
879,Year 1300,283
880,Year 1300,283
881,Year 1300,283
882,Year 1300,283
883,Year 1300,283
884,Year 1295,282.9
885,Year 1295,282.9
886,Year 1295,282.9
887,Year 1295,282.9
888,Year 1295,282.9
889,Year 1295,282.9
890,Year 1290,282.8
891,Year 1290,282.8
892,Year 1290,282.8
893,Year 1290,282.8
894,Year 1290,282.8
895,Year 1290,282.8
896,Year 1285,282.6
897,Year 1285,282.6
898,Year 1285,282.6
