time,station,land
1887.29,-0.50,-0.34
1887.38,-0.64,-0.30
1887.46,-0.58,-0.24
1887.54,-0.58,-0.25
1887.63,-0.52,-0.35
1887.71,-0.66,-0.25
1887.79,-0.48,-0.35
1887.88,-0.64,-0.26
1887.96,-0.58,-0.33
1888.04,-0.51,-0.33
1888.13,-0.74,-0.35
1888.21,-0.68,-0.41
1888.29,-0.23,-0.20
1888.38,-0.64,-0.22
1888.46,-0.35,-0.17
1888.54,-0.22,-0.10
1888.63,-0.21,-0.15
1888.71,-0.27,-0.12
1888.79,-0.02,0.02
1888.88,0.01,0.03
1888.96,-0.14,-0.04
1889.04,-0.24,-0.08
1889.13,0.13,0.17
1889.21,0.14,0.06
1889.29,0.27,0.10
1889.38,0.18,-0.01
1889.46,-0.10,-0.10
1889.54,-0.16,-0.07
1889.63,-0.38,-0.20
1889.71,-0.28,-0.24
1889.79,-0.20,-0.26
1889.88,-0.38,-0.33
1889.96,-0.33,-0.29
1890.04,-0.47,-0.41
1890.13,-0.42,-0.44
1890.21,-0.40,-0.40
1890.29,-0.10,-0.30
1890.38,-0.58,-0.39
1890.46,-0.35,-0.24
1890.54,-0.51,-0.28
1890.63,-0.51,-0.39
1890.71,-0.15,-0.36
1890.79,-0.15,-0.25
1890.88,-0.47,-0.43
1890.96,-0.29,-0.31
1891.04,-0.63,-0.33
1891.13,-0.89,-0.47
1891.21,-0.27,-0.18
1891.29,-0.39,-0.27
1891.38,-0.33,-0.16
1891.46,-0.51,-0.20
1891.54,-0.41,-0.17
1891.63,-0.37,-0.17
1891.71,-0.27,-0.15
1891.79,-0.33,-0.21
1891.88,-0.26,-0.30
1891.96,0.12,-0.04
1892.04,-0.52,-0.29
1892.13,-0.11,-0.10
1892.21,-0.57,-0.40
1892.29,-0.49,-0.33
1892.38,-0.49,-0.23
1892.46,-0.41,-0.22
1892.54,-0.24,-0.31
1892.63,-0.20,-0.27
1892.71,-0.41,-0.16
1892.79,-0.28,-0.13
1892.88,-0.55,-0.41
1892.96,-0.54,-0.37
1893.04,-1.38,-0.80
1893.13,-0.93,-0.56
1893.21,-0.40,-0.22
1893.29,-0.41,-0.27
1893.38,-0.45,-0.33
1893.46,-0.45,-0.25
1893.54,0.08,-0.13
1893.63,-0.15,-0.25
1893.71,-0.15,-0.22
1893.79,-0.03,-0.18
1893.88,-0.05,-0.18
1893.96,-0.32,-0.31
1894.04,-0.59,-0.51
1894.13,-0.35,-0.28
1894.21,-0.30,-0.22
1894.29,-0.57,-0.44
1894.38,-0.53,-0.30
1894.46,-0.44,-0.40
1894.54,-0.29,-0.23
1894.63,-0.28,-0.23
1894.71,-0.41,-0.27
1894.79,-0.19,-0.22
1894.88,-0.21,-0.25
1894.96,-0.15,-0.20
1895.04,-0.57,-0.40
1895.13,-0.70,-0.42
1895.21,-0.50,-0.32
1895.29,-0.39,-0.21
1895.38,-0.35,-0.27
1895.46,-0.11,-0.21
1895.54,-0.42,-0.16
1895.63,-0.14,-0.17
1895.71,-0.17,-0.12
1895.79,-0.14,-0.10
1895.88,-0.17,-0.16
1895.96,-0.06,-0.14
1896.04,-0.15,-0.21
1896.13,-0.20,-0.12
