,Year,Anomaly(1901-2000 Base Period),Rank
1120,192712,-0.29°C,222
1121,192711,-0.05°C,750
1122,192710,0.00°C,868
1123,192709,-0.07°C,701
1124,192708,-0.15°C,524
1125,192707,-0.13°C,568
1126,192706,-0.19°C,428
1127,192705,-0.22°C,370
1128,192704,-0.25°C,299
1129,192703,-0.30°C,202
1130,192702,-0.19°C,428
1131,192701,-0.23°C,349
1132,192612,-0.21°C,393
1133,192611,-0.07°C,701
1134,192610,-0.07°C,701
1135,192609,-0.11°C,606
1136,192608,-0.10°C,628
1137,192607,-0.19°C,428
1138,192606,-0.10°C,628
1139,192605,-0.12°C,584
1140,192604,-0.13°C,568
1141,192603,0.06°C,967
1142,192602,0.03°C,918
1143,192601,0.13°C,1089
1144,192512,0.12°C,1071
1145,192511,0.05°C,949
1146,192510,-0.16°C,499
1147,192509,-0.13°C,568
1148,192508,-0.15°C,524
1149,192507,-0.21°C,393
1150,192506,-0.23°C,349
1151,192505,-0.21°C,393
1152,192504,-0.17°C,481
1153,192503,-0.24°C,321
1154,192502,-0.38°C,104
1155,192501,-0.40°C,85
1156,192412,-0.41°C,79
1157,192411,-0.29°C,222
1158,192410,-0.31°C,184
1159,192409,-0.29°C,222
1160,192408,-0.31°C,184
1161,192407,-0.23°C,349
1162,192406,-0.20°C,408
1163,192405,-0.15°C,524
1164,192404,-0.22°C,370
1165,192403,-0.08°C,675
1166,192402,-0.18°C,455
1167,192401,-0.22°C,370
1168,192312,-0.01°C,837
1169,192311,-0.02°C,813
1170,192310,-0.18°C,455
1171,192309,-0.29°C,222
1172,192308,-0.33°C,153
1173,192307,-0.30°C,202
1174,192306,-0.23°C,349
1175,192305,-0.27°C,267
1176,192304,-0.38°C,104
1177,192303,-0.33°C,153
1178,192302,-0.42°C,74
1179,192301,-0.24°C,321
1180,192212,-0.20°C,408
1181,192211,-0.15°C,524
1182,192210,-0.27°C,267
1183,192209,-0.32°C,170
1184,192208,-0.30°C,202
1185,192207,-0.25°C,299
1186,192206,-0.27°C,267
1187,192205,-0.30°C,202
1188,192204,-0.15°C,524
1189,192203,-0.11°C,606
1190,192202,-0.31°C,184
1191,192201,-0.31°C,184
1192,192112,-0.10°C,628
1193,192111,-0.16°C,499
1194,192110,-0.06°C,731
1195,192109,-0.14°C,543
1196,192108,-0.22°C,370
1197,192107,-0.13°C,568
1198,192106,-0.16°C,499
1199,192105,-0.23°C,349
1200,192104,-0.21°C,393
1201,192103,-0.25°C,299
1202,192102,-0.17°C,481
1203,192101,-0.08°C,675
1204,192012,-0.43°C,68
1205,192011,-0.23°C,349
1206,192010,-0.23°C,349
1207,192009,-0.18°C,455
1208,192008,-0.24°C,321
1209,192007,-0.24°C,321
1210,192006,-0.25°C,299
1211,192005,-0.17°C,481
1212,192004,-0.19°C,428
1213,192003,-0.09°C,653
1214,192002,-0.33°C,153
1215,192001,-0.21°C,393
1216,191912,-0.40°C,85
1217,191911,-0.40°C,85
1218,191910,-0.24°C,321
1219,191909,-0.23°C,349
1220,191908,-0.30°C,202
1221,191907,-0.25°C,299
1222,191906,-0.28°C,241
1223,191905,-0.25°C,299
1224,191904,-0.06°C,731
1225,191903,-0.24°C,321
1226,191902,-0.12°C,584
1227,191901,-0.24°C,321
1228,191812,-0.35°C,128
1229,191811,-0.12°C,584
1230,191810,-0.11°C,606
1231,191809,-0.19°C,428
1232,191808,-0.31°C,184
1233,191807,-0.30°C,202
1234,191806,-0.35°C,128
1235,191805,-0.46°C,48
1236,191804,-0.44°C,61
1237,191803,-0.31°C,184
1238,191802,-0.38°C,104
1239,191801,-0.33°C,153
1240,191712,-0.55°C,19
1241,191711,-0.22°C,370
1242,191710,-0.33°C,153
1243,191709,-0.11°C,606
1244,191708,-0.18°C,455
1245,191707,-0.20°C,408
1246,191706,-0.39°C,96
1247,191705,-0.57°C,15
1248,191704,-0.47°C,45
1249,191703,-0.63°C,3
1250,191702,-0.57°C,15
1251,191701,-0.53°C,24
1252,191612,-0.62°C,5
1253,191611,-0.44°C,61
1254,191610,-0.28°C,241
1255,191609,-0.33°C,153
1256,191608,-0.32°C,170
1257,191607,-0.33°C,153
1258,191606,-0.40°C,85
1259,191605,-0.31°C,184
1260,191604,-0.26°C,285
1261,191603,-0.28°C,241
1262,191602,-0.16°C,499
1263,191601,-0.13°C,568
1264,191512,-0.11°C,606
1265,191511,-0.03°C,787
1266,191510,-0.23°C,349
1267,191509,-0.17°C,481
1268,191508,-0.12°C,584
1269,191507,-0.07°C,701
1270,191506,-0.14°C,543
1271,191505,-0.06°C,731
1272,191504,0.03°C,918
1273,191503,-0.09°C,653
1274,191502,0.00°C,868
1275,191501,-0.15°C,524
1276,191412,-0.09°C,653
1277,191411,-0.09°C,653
1278,191410,-0.10°C,628
1279,191409,-0.20°C,408
1280,191408,-0.20°C,408
1281,191407,-0.22°C,370
1282,191406,-0.18°C,455
1283,191405,-0.14°C,543
1284,191404,-0.25°C,299
1285,191403,-0.18°C,455
1286,191402,-0.11°C,606
1287,191401,0.11°C,1058
1288,191312,-0.03°C,787
1289,191311,-0.16°C,499
1290,191310,-0.30°C,202
1291,191309,-0.33°C,153
1292,191308,-0.29°C,222
1293,191307,-0.31°C,184
1294,191306,-0.38°C,104
1295,191305,-0.40°C,85
1296,191304,-0.38°C,104
1297,191303,-0.45°C,58
1298,191302,-0.41°C,79
1299,191301,-0.35°C,128
1300,191212,-0.39°C,96
1301,191211,-0.42°C,74
1302,191210,-0.54°C,20
1303,191209,-0.53°C,24
1304,191208,-0.46°C,48
1305,191207,-0.35°C,128
1306,191206,-0.22°C,370
1307,191205,-0.20°C,408
1308,191204,-0.20°C,408
1309,191203,-0.31°C,184
1310,191202,-0.13°C,568
1311,191201,-0.28°C,241
1312,191112,-0.20°C,408
1313,191111,-0.24°C,321
1314,191110,-0.31°C,184
1315,191109,-0.39°C,96
1316,191108,-0.44°C,61
1317,191107,-0.46°C,48
1318,191106,-0.48°C,39
1319,191105,-0.52°C,27
1320,191104,-0.54°C,20
1321,191103,-0.59°C,9
1322,191102,-0.56°C,18
1323,191101,-0.54°C,20
1324,191012,-0.58°C,10
1325,191011,-0.48°C,39
1326,191010,-0.43°C,68
1327,191009,-0.36°C,122
1328,191008,-0.35°C,128
1329,191007,-0.31°C,184
1330,191006,-0.34°C,144
1331,191005,-0.31°C,184
1332,191004,-0.37°C,114
1333,191003,-0.50°C,32
1334,191002,-0.40°C,85
1335,191001,-0.35°C,128
1336,190912,-0.41°C,79
1337,190911,-0.28°C,241
1338,190910,-0.36°C,122
1339,190909,-0.34°C,144
1340,190908,-0.32°C,170
1341,190907,-0.46°C,48
1342,190906,-0.46°C,48
1343,190905,-0.49°C,35
1344,190904,-0.60°C,8
1345,190903,-0.51°C,29
1346,190902,-0.46°C,48
1347,190901,-0.58°C,10
1348,190812,-0.42°C,74
1349,190811,-0.50°C,32
1350,190810,-0.50°C,32
1351,190809,-0.37°C,114
1352,190808,-0.45°C,58
1353,190807,-0.37°C,114
1354,190806,-0.38°C,104
1355,190805,-0.38°C,104
1356,190804,-0.44°C,61
1357,190803,-0.58°C,10
1358,190802,-0.36°C,122
1359,190801,-0.38°C,104
1360,190712,-0.42°C,74
1361,190711,-0.48°C,39
1362,190710,-0.30°C,202
1363,190709,-0.36°C,122
1364,190708,-0.32°C,170
1365,190707,-0.34°C,144
1366,190706,-0.38°C,104
1367,190705,-0.46°C,48
1368,190704,-0.36°C,122
1369,190703,-0.32°C,170
1370,190702,-0.48°C,39
1371,190701,-0.37°C,114
1372,190612,-0.15°C,524
1373,190611,-0.34°C,144
1374,190610,-0.28°C,241
1375,190609,-0.28°C,241
1376,190608,-0.24°C,321
1377,190607,-0.21°C,393
1378,190606,-0.15°C,524
1379,190605,-0.22°C,370
1380,190604,-0.06°C,731
1381,190603,-0.18°C,455
1382,190602,-0.24°C,321
1383,190601,-0.14°C,543
1384,190512,-0.08°C,675
1385,190511,-0.08°C,675
1386,190510,-0.26°C,285
1387,190509,-0.21°C,393
1388,190508,-0.19°C,428
1389,190507,-0.22°C,370
1390,190506,-0.25°C,299
1391,190505,-0.26°C,285
1392,190504,-0.41°C,79
1393,190503,-0.40°C,85
1394,190502,-0.63°C,3
1395,190501,-0.35°C,128
1396,190412,-0.31°C,184
1397,190411,-0.16°C,499
1398,190410,-0.43°C,68
1399,190409,-0.48°C,39
1400,190408,-0.43°C,68
1401,190407,-0.49°C,35
1402,190406,-0.44°C,61
1403,190405,-0.46°C,48
1404,190404,-0.51°C,29
1405,190403,-0.58°C,10
1406,190402,-0.58°C,10
1407,190401,-0.62°C,5
1408,190312,-0.47°C,45
1409,190311,-0.48°C,39
1410,190310,-0.51°C,29
1411,190309,-0.46°C,48
1412,190308,-0.44°C,61
1413,190307,-0.40°C,85
1414,190306,-0.38°C,104
1415,190305,-0.41°C,79
1416,190304,-0.36°C,122
1417,190303,-0.25°C,299
1418,190302,-0.09°C,653
1419,190301,-0.24°C,321
1420,190212,-0.37°C,114
1421,190211,-0.34°C,144
1422,190210,-0.30°C,202
1423,190209,-0.28°C,241
1424,190208,-0.29°C,222
1425,190207,-0.27°C,267
1426,190206,-0.30°C,202
1427,190205,-0.29°C,222
1428,190204,-0.27°C,267
1429,190203,-0.22°C,370
1430,190202,-0.05°C,750
1431,190201,-0.10°C,628
1432,190112,-0.28°C,241
1433,190111,-0.20°C,408
1434,190110,-0.33°C,153
1435,190109,-0.24°C,321
1436,190108,-0.19°C,428
1437,190107,-0.13°C,568
1438,190106,-0.07°C,701
1439,190105,-0.11°C,606
1440,190104,-0.05°C,750
1441,190103,-0.02°C,813
1442,190102,-0.10°C,628
1443,190101,-0.14°C,543
1444,190012,0.00°C,868
1445,190011,-0.14°C,543
1446,190010,0.07°C,989
1447,190009,-0.06°C,731
1448,190008,-0.07°C,701
1449,190007,-0.09°C,653
1450,190006,-0.04°C,771
1451,190005,-0.07°C,701
1452,190004,-0.09°C,653
1453,190003,-0.04°C,771
1454,190002,-0.07°C,701
1455,190001,-0.35°C,128
1456,189912,-0.19°C,428
1457,189911,0.10°C,1038
1458,189910,-0.09°C,653
1459,189909,-0.04°C,771
1460,189908,-0.10°C,628
1461,189907,-0.17°C,481
1462,189906,-0.26°C,285
1463,189905,-0.17°C,481
1464,189904,-0.19°C,428
1465,189903,-0.32°C,170
1466,189902,-0.33°C,153
1467,189901,-0.14°C,543
1468,189812,-0.11°C,606
1469,189811,-0.31°C,184
1470,189810,-0.37°C,114
1471,189809,-0.22°C,370
1472,189808,-0.23°C,349
1473,189807,-0.22°C,370
1474,189806,-0.19°C,428
1475,189805,-0.27°C,267
1476,189804,-0.37°C,114
1477,189803,-0.68°C,2
1478,189802,-0.29°C,222
1479,189801,-0.01°C,837
1480,189712,-0.26°C,285
1481,189711,-0.26°C,285
1482,189710,-0.17°C,481
1483,189709,-0.05°C,750
1484,189708,-0.08°C,675
1485,189707,-0.02°C,813
1486,189706,-0.06°C,731
1487,189705,0.00°C,868
1488,189704,0.05°C,949
1489,189703,-0.14°C,543
1490,189702,-0.12°C,584
1491,189701,-0.13°C,568
1492,189612,0.07°C,989
1493,189611,-0.15°C,524
1494,189610,0.01°C,882
1495,189609,-0.05°C,750
1496,189608,-0.04°C,771
1497,189607,-0.04°C,771
1498,189606,-0.09°C,653
1499,189605,-0.14°C,543
1500,189604,-0.24°C,321
1501,189603,-0.23°C,349
1502,189602,-0.11°C,606
1503,189601,-0.15°C,524
1504,189512,-0.13°C,568
1505,189511,-0.18°C,455
1506,189510,-0.12°C,584
1507,189509,-0.17°C,481
1508,189508,-0.25°C,299
1509,189507,-0.22°C,370
1510,189506,-0.29°C,222
1511,189505,-0.28°C,241
1512,189504,-0.19°C,428
1513,189503,-0.33°C,153
1514,189502,-0.40°C,85
1515,189501,-0.43°C,68
1516,189412,-0.25°C,299
1517,189411,-0.35°C,128
1518,189410,-0.29°C,222
1519,189409,-0.27°C,267
1520,189408,-0.30°C,202
1521,189407,-0.30°C,202
1522,189406,-0.37°C,114
1523,189405,-0.35°C,128
1524,189404,-0.39°C,96
1525,189403,-0.28°C,241
1526,189402,-0.24°C,321
1527,189401,-0.42°C,74
1528,189312,-0.25°C,299
1529,189311,-0.19°C,428
1530,189310,-0.25°C,299
1531,189309,-0.23°C,349
1532,189308,-0.32°C,170
1533,189307,-0.21°C,393
1534,189306,-0.27°C,267
1535,189305,-0.33°C,153
1536,189304,-0.35°C,128
1537,189303,-0.22°C,370
1538,189302,-0.62°C,5
1539,189301,-0.73°C,1
1540,189212,-0.45°C,58
1541,189211,-0.49°C,35
1542,189210,-0.28°C,241
1543,189209,-0.23°C,349
1544,189208,-0.35°C,128
1545,189207,-0.39°C,96
1546,189206,-0.30°C,202
1547,189205,-0.28°C,241
1548,189204,-0.33°C,153
1549,189203,-0.27°C,267
1550,189202,-0.14°C,543
1551,189201,-0.24°C,321
1552,189112,-0.07°C,701
1553,189111,-0.40°C,85
1554,189110,-0.29°C,222
1555,189109,-0.16°C,499
1556,189108,-0.21°C,393
1557,189107,-0.18°C,455
1558,189106,-0.20°C,408
1559,189105,-0.18°C,455
1560,189104,-0.26°C,285
1561,189103,-0.24°C,321
1562,189102,-0.54°C,20
1563,189101,-0.39°C,96
1564,189012,-0.30°C,202
1565,189011,-0.46°C,48
1566,189010,-0.35°C,128
1567,189009,-0.43°C,68
1568,189008,-0.39°C,96
1569,189007,-0.29°C,222
1570,189006,-0.31°C,184
1571,189005,-0.40°C,85
1572,189004,-0.28°C,241
1573,189003,-0.33°C,153
1574,189002,-0.35°C,128
1575,189001,-0.34°C,144
1576,188912,-0.16°C,499
1577,188911,-0.29°C,222
1578,188910,-0.26°C,285
1579,188909,-0.24°C,321
1580,188908,-0.16°C,499
1581,188907,-0.13°C,568
1582,188906,-0.08°C,675
1583,188905,-0.03°C,787
1584,188904,0.08°C,1004
1585,188903,0.13°C,1089
1586,188902,0.03°C,918
1587,188901,-0.02°C,813
1588,188812,0.07°C,989
1589,188811,-0.04°C,771
1590,188810,0.03°C,918
1591,188809,-0.10°C,628
1592,188808,-0.18°C,455
1593,188807,-0.12°C,584
1594,188806,-0.11°C,606
1595,188805,-0.15°C,524
1596,188804,-0.12°C,584
1597,188803,-0.29°C,222
1598,188802,-0.28°C,241
1599,188801,-0.32°C,170
1600,188712,-0.17°C,481
1601,188711,-0.19°C,428
1602,188710,-0.33°C,153
1603,188709,-0.23°C,349
1604,188708,-0.32°C,170
1605,188707,-0.24°C,321
1606,188706,-0.25°C,299
1607,188705,-0.26°C,285
1608,188704,-0.26°C,285
1609,188703,-0.22°C,370
1610,188702,-0.47°C,45
1611,188701,-0.52°C,27
1612,188612,-0.17°C,481
1613,188611,-0.28°C,241
1614,188610,-0.32°C,170
1615,188609,-0.27°C,267
1616,188608,-0.27°C,267
1617,188607,-0.20°C,408
1618,188606,-0.25°C,299
1619,188605,-0.19°C,428
1620,188604,-0.19°C,428
1621,188603,-0.29°C,222
1622,188602,-0.32°C,170
1623,188601,-0.18°C,455
1624,188512,0.01°C,882
1625,188511,-0.14°C,543
1626,188510,-0.20°C,408
1627,188509,-0.26°C,285
1628,188508,-0.29°C,222
1629,188507,-0.25°C,299
1630,188506,-0.31°C,184
1631,188505,-0.30°C,202
1632,188504,-0.28°C,241
1633,188503,-0.25°C,299
1634,188502,-0.30°C,202
1635,188501,-0.44°C,61
1636,188412,-0.23°C,349
1637,188411,-0.34°C,144
1638,188410,-0.27°C,267
1639,188409,-0.28°C,241
1640,188408,-0.28°C,241
1641,188407,-0.31°C,184
1642,188406,-0.25°C,299
1643,188405,-0.22°C,370
1644,188404,-0.28°C,241
1645,188403,-0.28°C,241
1646,188402,-0.18°C,455
1647,188401,-0.23°C,349
1648,188312,-0.14°C,543
1649,188311,-0.24°C,321
1650,188310,-0.22°C,370
1651,188309,-0.17°C,481
1652,188308,-0.11°C,606
1653,188307,-0.10°C,628
1654,188306,0.00°C,868
1655,188305,-0.16°C,499
1656,188304,-0.20°C,408
1657,188303,-0.18°C,455
1658,188302,-0.35°C,128
1659,188301,-0.27°C,267
1660,188212,-0.16°C,499
1661,188211,-0.14°C,543
1662,188210,-0.23°C,349
1663,188209,-0.10°C,628
1664,188208,-0.08°C,675
1665,188207,-0.12°C,584
1666,188206,-0.14°C,543
1667,188205,-0.14°C,543
1668,188204,-0.15°C,524
1669,188203,-0.01°C,851
1670,188202,0.02°C,898
1671,188201,0.09°C,1020
1672,188112,-0.03°C,787
1673,188111,-0.26°C,285
1674,188110,-0.29°C,222
1675,188109,-0.16°C,499
1676,188108,-0.06°C,731
1677,188107,-0.07°C,701
1678,188106,-0.12°C,584
1679,188105,0.03°C,918
1680,188104,0.07°C,989
1681,188103,0.05°C,949
1682,188102,-0.06°C,731
1683,188101,-0.08°C,675
1684,188012,-0.10°C,628
1685,188011,-0.24°C,321
1686,188010,-0.23°C,349
1687,188009,-0.10°C,628
1688,188008,-0.06°C,731
1689,188007,-0.12°C,584
1690,188006,-0.12°C,584
1691,188005,-0.09°C,653
1692,188004,-0.05°C,750
1693,188003,-0.09°C,653
1694,188002,-0.14°C,543
1695,188001,-0.06°C,731
