,year,sealevel
239,Year 1820,-1.5
240,Year 1820,-1.5
241,Year 1820,-1.5
242,Year 1820,-1.5
243,Year 1820,-1.5
244,Year 1810,-1.1
245,Year 1810,-1.1
246,Year 1810,-1.1
247,Year 1810,-1.1
248,Year 1810,-1.1
249,Year 1810,-1.1
250,Year 1810,-1.1
251,Year 1810,-1.1
252,Year 1810,-1.1
253,Year 1810,-1.1
254,Year 1810,-1.1
255,Year 1810,-1.1
256,Year 1800,-0.7
257,Year 1800,-0.7
258,Year 1800,-0.7
259,Year 1800,-0.7
260,Year 1800,-0.7
261,Year 1800,-0.7
262,Year 1800,-0.7
263,Year 1800,-0.7
264,Year 1800,-0.7
265,Year 1800,-0.7
266,Year 1800,-0.7
267,Year 1800,-0.7
268,Year 1800,-0.7
269,Year 1800,-0.7
270,Year 1800,-0.7
271,Year 1800,-0.7
272,Year 1800,-0.7
273,Year 1800,-0.7
274,Year 1780,0.5
275,Year 1780,0.5
276,Year 1780,0.5
277,Year 1780,0.5
278,Year 1780,0.5
279,Year 1780,0.5
280,Year 1780,0.5
281,Year 1780,0.5
282,Year 1780,0.5
283,Year 1780,0.5
284,Year 1780,0.5
285,Year 1780,0.5
286,Year 1780,0.5
287,Year 1780,0.5
288,Year 1780,0.5
289,Year 1780,0.5
290,Year 1780,0.5
291,Year 1780,0.5
292,Year 1780,0.5
293,Year 1780,0.5
294,Year 1780,0.5
295,Year 1780,0.5
296,Year 1780,0.5
297,Year 1780,0.5
298,Year 1760,1.4
299,Year 1760,1.4
300,Year 1760,1.4
301,Year 1760,1.4
302,Year 1760,1.4
303,Year 1760,1.4
304,Year 1760,1.4
305,Year 1760,1.4
306,Year 1760,1.4
307,Year 1760,1.4
308,Year 1760,1.4
309,Year 1760,1.4
310,Year 1760,1.4
311,Year 1760,1.4
312,Year 1760,1.4
313,Year 1760,1.4
314,Year 1760,1.4
315,Year 1760,1.4
316,Year 1760,1.4
317,Year 1760,1.4
318,Year 1760,1.4
319,Year 1760,1.4
320,Year 1760,1.4
321,Year 1760,1.4
322,Year 1740,1.3
323,Year 1740,1.3
324,Year 1740,1.3
325,Year 1740,1.3
326,Year 1740,1.3
327,Year 1740,1.3
328,Year 1740,1.3
329,Year 1740,1.3
330,Year 1740,1.3
331,Year 1740,1.3
332,Year 1740,1.3
333,Year 1740,1.3
334,Year 1740,1.3
335,Year 1740,1.3
336,Year 1740,1.3
337,Year 1740,1.3
338,Year 1740,1.3
339,Year 1740,1.3
340,Year 1740,1.3
341,Year 1740,1.3
342,Year 1740,1.3
343,Year 1740,1.3
344,Year 1740,1.3
345,Year 1740,1.3
346,Year 1720,1
347,Year 1720,1
348,Year 1720,1
349,Year 1720,1
350,Year 1720,1
351,Year 1720,1
352,Year 1720,1
353,Year 1720,1
354,Year 1720,1
355,Year 1720,1
356,Year 1720,1
357,Year 1720,1
358,Year 1720,1
359,Year 1720,1
360,Year 1720,1
361,Year 1720,1
362,Year 1720,1
363,Year 1720,1
364,Year 1720,1
365,Year 1720,1
366,Year 1720,1
367,Year 1720,1
368,Year 1720,1
369,Year 1720,1
370,Year 1700,1.5
371,Year 1700,1.5
372,Year 1700,1.5
373,Year 1700,1.5
374,Year 1700,1.5
375,Year 1700,1.5
376,Year 1700,1.5
377,Year 1700,1.5
378,Year 1700,1.5
379,Year 1700,1.5
380,Year 1700,1.5
381,Year 1700,1.5
382,Year 1700,1.5
383,Year 1700,1.5
384,Year 1700,1.5
385,Year 1700,1.5
386,Year 1700,1.5
387,Year 1700,1.5
388,Year 1700,1.5
389,Year 1700,1.5
390,Year 1700,1.5
391,Year 1700,1.5
392,Year 1700,1.5
393,Year 1700,1.5
394,Year 1680,2.5
395,Year 1680,2.5
396,Year 1680,2.5
397,Year 1680,2.5
398,Year 1680,2.5
399,Year 1680,2.5
400,Year 1680,2.5
401,Year 1680,2.5
402,Year 1680,2.5
403,Year 1680,2.5
404,Year 1680,2.5
405,Year 1680,2.5
406,Year 1680,2.5
407,Year 1680,2.5
408,Year 1680,2.5
409,Year 1680,2.5
410,Year 1680,2.5
411,Year 1680,2.5
412,Year 1680,2.5
413,Year 1680,2.5
414,Year 1680,2.5
415,Year 1680,2.5
416,Year 1680,2.5
417,Year 1680,2.5
418,Year 1660,3.1
419,Year 1660,3.1
420,Year 1660,3.1
421,Year 1660,3.1
422,Year 1660,3.1
423,Year 1660,3.1
424,Year 1660,3.1
425,Year 1660,3.1
426,Year 1660,3.1
427,Year 1660,3.1
428,Year 1660,3.1
429,Year 1660,3.1
430,Year 1660,3.1
431,Year 1660,3.1
432,Year 1660,3.1
433,Year 1660,3.1
434,Year 1660,3.1
435,Year 1660,3.1
436,Year 1660,3.1
437,Year 1660,3.1
438,Year 1660,3.1
439,Year 1660,3.1
440,Year 1660,3.1
441,Year 1660,3.1
442,Year 1640,3.5
443,Year 1640,3.5
444,Year 1640,3.5
445,Year 1640,3.5
446,Year 1640,3.5
447,Year 1640,3.5
448,Year 1640,3.5
449,Year 1640,3.5
450,Year 1640,3.5
451,Year 1640,3.5
452,Year 1640,3.5
453,Year 1640,3.5
454,Year 1640,3.5
455,Year 1640,3.5
456,Year 1640,3.5
457,Year 1640,3.5
458,Year 1640,3.5
459,Year 1640,3.5
460,Year 1640,3.5
461,Year 1640,3.5
462,Year 1640,3.5
463,Year 1640,3.5
464,Year 1640,3.5
465,Year 1640,3.5
466,Year 1620,4.1
467,Year 1620,4.1
468,Year 1620,4.1
469,Year 1620,4.1
470,Year 1620,4.1
471,Year 1620,4.1
472,Year 1620,4.1
473,Year 1620,4.1
474,Year 1620,4.1
475,Year 1620,4.1
476,Year 1620,4.1
477,Year 1620,4.1
478,Year 1620,4.1
479,Year 1620,4.1
480,Year 1620,4.1
481,Year 1620,4.1
482,Year 1620,4.1
483,Year 1620,4.1
484,Year 1620,4.1
485,Year 1620,4.1
486,Year 1620,4.1
487,Year 1620,4.1
488,Year 1620,4.1
489,Year 1620,4.1
490,Year 1600,4.9
491,Year 1600,4.9
492,Year 1600,4.9
493,Year 1600,4.9
494,Year 1600,4.9
495,Year 1600,4.9
496,Year 1600,4.9
497,Year 1600,4.9
498,Year 1600,4.9
499,Year 1600,4.9
500,Year 1600,4.9
501,Year 1600,4.9
502,Year 1600,4.9
503,Year 1600,4.9
504,Year 1600,4.9
505,Year 1600,4.9
506,Year 1600,4.9
507,Year 1600,4.9
508,Year 1600,4.9
509,Year 1600,4.9
510,Year 1600,4.9
511,Year 1600,4.9
512,Year 1600,4.9
513,Year 1600,4.9
514,Year 1580,5.2
515,Year 1580,5.2
516,Year 1580,5.2
517,Year 1580,5.2
518,Year 1580,5.2
519,Year 1580,5.2
520,Year 1580,5.2
521,Year 1580,5.2
522,Year 1580,5.2
523,Year 1580,5.2
524,Year 1580,5.2
525,Year 1580,5.2
526,Year 1580,5.2
527,Year 1580,5.2
528,Year 1580,5.2
529,Year 1580,5.2
530,Year 1580,5.2
531,Year 1580,5.2
532,Year 1580,5.2
533,Year 1580,5.2
534,Year 1580,5.2
535,Year 1580,5.2
536,Year 1580,5.2
537,Year 1580,5.2
538,Year 1560,5
539,Year 1560,5
540,Year 1560,5
541,Year 1560,5
542,Year 1560,5
543,Year 1560,5
544,Year 1560,5
545,Year 1560,5
546,Year 1560,5
547,Year 1560,5
548,Year 1560,5
549,Year 1560,5
550,Year 1560,5
551,Year 1560,5
552,Year 1560,5
553,Year 1560,5
554,Year 1560,5
555,Year 1560,5
556,Year 1560,5
557,Year 1560,5
558,Year 1560,5
559,Year 1560,5
560,Year 1560,5
561,Year 1560,5
562,Year 1540,4.3
563,Year 1540,4.3
564,Year 1540,4.3
565,Year 1540,4.3
566,Year 1540,4.3
567,Year 1540,4.3
568,Year 1540,4.3
569,Year 1540,4.3
570,Year 1540,4.3
571,Year 1540,4.3
572,Year 1540,4.3
573,Year 1540,4.3
574,Year 1540,4.3
575,Year 1540,4.3
576,Year 1540,4.3
577,Year 1540,4.3
578,Year 1540,4.3
579,Year 1540,4.3
580,Year 1540,4.3
581,Year 1540,4.3
582,Year 1540,4.3
583,Year 1540,4.3
584,Year 1540,4.3
585,Year 1540,4.3
586,Year 1520,3.5
587,Year 1520,3.5
588,Year 1520,3.5
589,Year 1520,3.5
590,Year 1520,3.5
591,Year 1520,3.5
592,Year 1520,3.5
593,Year 1520,3.5
