,year,n2o
269,Year 1797,272.4
270,Year 1796,272.2
271,Year 1795,272.1
272,Year 1794,272
273,Year 1794,272
274,Year 1793,271.9
275,Year 1792,271.8
276,Year 1791,271.8
277,Year 1790,271.8
278,Year 1789,271.8
279,Year 1789,271.8
280,Year 1788,271.8
281,Year 1787,271.8
282,Year 1786,271.8
283,Year 1785,271.9
284,Year 1784,272
285,Year 1784,272
286,Year 1783,272.1
287,Year 1782,272.2
288,Year 1781,272.3
289,Year 1780,272.4
290,Year 1779,272.5
291,Year 1779,272.5
292,Year 1778,272.7
293,Year 1777,272.8
294,Year 1776,272.9
295,Year 1775,273.1
296,Year 1774,273.2
297,Year 1773,273.3
298,Year 1773,273.3
299,Year 1772,273.5
300,Year 1771,273.6
301,Year 1770,273.7
302,Year 1769,273.8
303,Year 1768,273.9
304,Year 1768,273.9
305,Year 1767,274
306,Year 1766,274.1
307,Year 1765,274.2
308,Year 1764,274.2
309,Year 1763,274.3
310,Year 1763,274.3
311,Year 1762,274.3
312,Year 1761,274.2
313,Year 1760,274.1
314,Year 1759,273.9
315,Year 1758,273.7
316,Year 1758,273.7
317,Year 1757,273.4
318,Year 1756,273.1
319,Year 1755,272.8
320,Year 1754,272.5
321,Year 1753,272.2
322,Year 1753,272.2
323,Year 1752,271.8
324,Year 1751,271.5
325,Year 1750,271.2
326,Year 1749,270.9
327,Year 1748,270.6
328,Year 1748,270.6
329,Year 1747,270.4
330,Year 1746,270.2
331,Year 1745,270
332,Year 1744,269.8
333,Year 1743,269.7
334,Year 1743,269.7
335,Year 1742,269.5
336,Year 1741,269.4
337,Year 1740,269.4
338,Year 1739,269.3
339,Year 1738,269.2
340,Year 1737,269.2
341,Year 1737,269.2
342,Year 1736,269.2
343,Year 1735,269.2
344,Year 1734,269.2
345,Year 1733,269.2
346,Year 1732,269.2
347,Year 1732,269.2
348,Year 1731,269.3
349,Year 1730,269.3
350,Year 1729,269.4
351,Year 1728,269.4
352,Year 1727,269.5
353,Year 1727,269.5
354,Year 1726,269.6
355,Year 1725,269.6
356,Year 1724,269.7
357,Year 1723,269.8
358,Year 1722,269.9
359,Year 1722,269.9
360,Year 1721,270
361,Year 1720,270
362,Year 1719,270.1
363,Year 1718,270.2
364,Year 1717,270.3
365,Year 1717,270.3
366,Year 1716,270.4
367,Year 1715,270.4
368,Year 1714,270.5
369,Year 1713,270.6
370,Year 1712,270.7
371,Year 1712,270.7
372,Year 1711,270.7
373,Year 1710,270.8
374,Year 1709,270.9
375,Year 1708,270.9
376,Year 1707,271
377,Year 1707,271
378,Year 1706,271
379,Year 1705,271.1
380,Year 1704,271.1
381,Year 1703,271.2
382,Year 1702,271.2
383,Year 1701,271.2
384,Year 1701,271.2
385,Year 1700,271.2
386,Year 1699,271.2
387,Year 1698,271.3
388,Year 1697,271.2
389,Year 1696,271.2
390,Year 1696,271.2
391,Year 1695,271.2
392,Year 1694,271.2
393,Year 1693,271.2
394,Year 1692,271.1
395,Year 1691,271.1
396,Year 1691,271.1
397,Year 1690,271
398,Year 1689,270.9
399,Year 1688,270.8
400,Year 1687,270.7
401,Year 1686,270.6
402,Year 1686,270.6
403,Year 1685,270.5
404,Year 1684,270.4
405,Year 1683,270.3
406,Year 1682,270.1
407,Year 1681,269.9
408,Year 1681,269.9
409,Year 1680,269.8
410,Year 1679,269.6
411,Year 1678,269.4
412,Year 1677,269.2
413,Year 1676,269
414,Year 1676,269
415,Year 1675,268.8
416,Year 1674,268.5
417,Year 1673,268.3
418,Year 1672,268.1
419,Year 1671,267.9
420,Year 1671,267.9
421,Year 1670,267.7
422,Year 1669,267.5
423,Year 1668,267.3
424,Year 1667,267.1
425,Year 1666,266.9
426,Year 1665,266.7
427,Year 1665,266.7
428,Year 1664,266.5
429,Year 1663,266.4
430,Year 1662,266.2
431,Year 1661,266
432,Year 1660,265.9
433,Year 1660,265.9
434,Year 1659,265.8
435,Year 1658,265.6
436,Year 1657,265.5
437,Year 1656,265.4
438,Year 1655,265.3
439,Year 1655,265.3
440,Year 1654,265.2
441,Year 1653,265.1
442,Year 1652,265
443,Year 1651,265
444,Year 1650,264.9
445,Year 1650,264.9
446,Year 1649,264.8
447,Year 1648,264.8
448,Year 1647,264.7
449,Year 1646,264.7
450,Year 1645,264.6
451,Year 1645,264.6
452,Year 1644,264.6
453,Year 1643,264.6
454,Year 1642,264.5
455,Year 1641,264.5
456,Year 1640,264.5
457,Year 1640,264.5
458,Year 1639,264.5
459,Year 1638,264.5
460,Year 1637,264.5
461,Year 1636,264.5
462,Year 1635,264.5
463,Year 1634,264.6
464,Year 1634,264.6
465,Year 1633,264.6
466,Year 1632,264.6
467,Year 1631,264.7
468,Year 1630,264.7
469,Year 1629,264.7
470,Year 1629,264.7
471,Year 1628,264.8
472,Year 1627,264.8
473,Year 1626,264.9
474,Year 1625,265
475,Year 1624,265
476,Year 1624,265
477,Year 1623,265.1
478,Year 1622,265.2
479,Year 1621,265.2
480,Year 1620,265.3
481,Year 1619,265.4
482,Year 1619,265.4
483,Year 1618,265.5
484,Year 1617,265.6
485,Year 1616,265.7
486,Year 1615,265.7
487,Year 1614,265.8
488,Year 1614,265.8
489,Year 1613,265.9
490,Year 1612,266
491,Year 1611,266.1
492,Year 1610,266.2
493,Year 1609,266.3
494,Year 1609,266.3
