,year,n2o
1148,Year 1059,266.6
1149,Year 1058,266.5
1150,Year 1058,266.5
1151,Year 1057,266.5
1152,Year 1056,266.4
1153,Year 1055,266.4
1154,Year 1054,266.4
1155,Year 1053,266.3
1156,Year 1053,266.3
1157,Year 1052,266.3
1158,Year 1051,266.2
1159,Year 1050,266.2
1160,Year 1049,266.2
1161,Year 1048,266.1
1162,Year 1048,266.1
1163,Year 1047,266.1
1164,Year 1046,266.1
1165,Year 1045,266
1166,Year 1044,266
1167,Year 1043,265.9
1168,Year 1043,265.9
1169,Year 1042,265.9
1170,Year 1041,265.9
1171,Year 1040,265.8
1172,Year 1039,265.8
1173,Year 1038,265.8
1174,Year 1038,265.8
1175,Year 1037,265.7
1176,Year 1036,265.7
1177,Year 1035,265.7
1178,Year 1034,265.7
1179,Year 1033,265.6
1180,Year 1032,265.6
1181,Year 1032,265.6
1182,Year 1031,265.6
1183,Year 1030,265.6
1184,Year 1029,265.5
1185,Year 1028,265.5
1186,Year 1027,265.5
1187,Year 1027,265.5
1188,Year 1026,265.5
1189,Year 1025,265.4
1190,Year 1024,265.4
1191,Year 1023,265.4
1192,Year 1022,265.4
1193,Year 1022,265.4
1194,Year 1021,265.4
1195,Year 1020,265.4
1196,Year 1019,265.3
1197,Year 1018,265.3
1198,Year 1017,265.3
1199,Year 1017,265.3
1200,Year 1016,265.3
1201,Year 1015,265.3
1202,Year 1014,265.3
1203,Year 1013,265.3
1204,Year 1012,265.3
1205,Year 1012,265.3
1206,Year 1011,265.3
1207,Year 1010,265.3
1208,Year 1009,265.3
1209,Year 1008,265.3
1210,Year 1007,265.3
1211,Year 1007,265.3
1212,Year 1006,265.3
1213,Year 1005,265.3
1214,Year 1004,265.3
1215,Year 1003,265.3
1216,Year 1002,265.3
1217,Year 1002,265.3
1218,Year 1001,265.3
1219,Year 1000,265.3
1220,Year 1000,265.3
