,temperature,year
775, -0.44°C,"January 2, 1379"
776, -0.44°C,"January 2, 1378"
777, -0.43°C,"January 2, 1377"
778, -0.32°C,"January 2, 1376"
779, -0.18°C,"January 2, 1375"
780, -0.13°C,"January 2, 1374"
781, -0.13°C,"January 2, 1374"
782, -0.23°C,"January 2, 1373"
783, -0.37°C,"January 2, 1372"
784, -0.35°C,"January 2, 1371"
785, -0.24°C,"January 2, 1370"
786, -0.16°C,"January 2, 1369"
787, -0.16°C,"January 2, 1369"
788, -0.05°C,"January 2, 1368"
789, -0.04°C,"January 2, 1367"
790, -0.18°C,"January 2, 1366"
791, -0.3°C,"January 2, 1365"
792, -0.26°C,"January 2, 1364"
793, -0.26°C,"January 2, 1364"
794, -0.23°C,"January 2, 1363"
795, -0.31°C,"January 2, 1362"
796, -0.3°C,"January 2, 1361"
797, -0.18°C,"January 2, 1360"
798, -0.1°C,"January 2, 1359"
799, -0.04°C,"January 2, 1358"
800, -0.04°C,"January 2, 1358"
801, 0.09°C,"January 2, 1357"
802, 0.11°C,"January 2, 1356"
803, -0.04°C,"January 2, 1355"
804, -0.13°C,"January 2, 1354"
805, -0.1°C,"January 2, 1353"
806, -0.1°C,"January 2, 1353"
807, -0.19°C,"January 2, 1352"
808, -0.36°C,"January 2, 1351"
809, -0.33°C,"January 2, 1350"
810, -0.24°C,"January 2, 1349"
811, -0.22°C,"January 2, 1348"
812, -0.22°C,"January 2, 1348"
813, -0.21°C,"January 2, 1347"
814, -0.19°C,"January 2, 1346"
815, -0.19°C,"January 2, 1345"
816, -0.16°C,"January 2, 1344"
817, -0.08°C,"January 2, 1343"
818, -0.08°C,"January 2, 1343"
819, -0.07°C,"January 2, 1342"
820, -0.16°C,"January 2, 1341"
821, -0.3°C,"January 2, 1340"
822, -0.44°C,"January 2, 1339"
823, -0.5°C,"January 2, 1338"
824, -0.5°C,"January 2, 1338"
825, -0.45°C,"January 2, 1337"
826, -0.47°C,"January 2, 1336"
827, -0.41°C,"January 2, 1335"
828, -0.23°C,"January 2, 1334"
829, -0.09°C,"January 2, 1333"
830, -0.09°C,"January 2, 1333"
831, -0.01°C,"January 2, 1332"
832, 0.02°C,"January 2, 1331"
833, -0.09°C,"January 2, 1330"
834, -0.28°C,"January 2, 1329"
835, -0.24°C,"January 2, 1328"
836, -0.08°C,"January 2, 1327"
837, -0.08°C,"January 2, 1327"
838, -0.05°C,"January 2, 1326"
839, -0.13°C,"January 2, 1325"
840, -0.27°C,"January 2, 1324"
841, -0.37°C,"January 2, 1323"
842, -0.28°C,"January 2, 1322"
843, -0.28°C,"January 2, 1322"
844, -0.18°C,"January 2, 1321"
845, -0.26°C,"January 2, 1320"
846, -0.42°C,"January 2, 1319"
847, -0.45°C,"January 2, 1318"
848, -0.39°C,"January 2, 1317"
849, -0.39°C,"January 2, 1317"
850, -0.37°C,"January 2, 1316"
851, -0.29°C,"January 2, 1315"
852, -0.16°C,"January 2, 1314"
853, -0.18°C,"January 2, 1313"
854, -0.2°C,"January 2, 1312"
855, -0.2°C,"January 2, 1312"
856, -0.16°C,"January 2, 1311"
857, -0.21°C,"January 2, 1310"
858, -0.29°C,"January 2, 1309"
859, -0.35°C,"January 2, 1308"
860, -0.41°C,"January 2, 1307"
861, -0.41°C,"January 2, 1307"
862, -0.38°C,"January 2, 1306"
863, -0.33°C,"January 2, 1305"
864, -0.34°C,"January 2, 1304"
865, -0.32°C,"January 2, 1303"
866, -0.3°C,"January 2, 1302"
867, -0.3°C,"January 2, 1302"
868, -0.37°C,"January 2, 1301"
869, -0.48°C,"January 2, 1300"
870, -0.54°C,"January 2, 1299"
871, -0.5°C,"January 2, 1298"
872, -0.48°C,"January 2, 1297"
873, -0.53°C,"January 2, 1296"
874, -0.53°C,"January 2, 1296"
875, -0.5°C,"January 2, 1295"
876, -0.47°C,"January 2, 1294"
877, -0.51°C,"January 2, 1293"
878, -0.5°C,"January 2, 1292"
879, -0.36°C,"January 2, 1291"
880, -0.36°C,"January 2, 1291"
881, -0.33°C,"January 2, 1290"
882, -0.45°C,"January 2, 1289"
883, -0.44°C,"January 2, 1288"
884, -0.33°C,"January 2, 1287"
885, -0.47°C,"January 2, 1286"
886, -0.47°C,"January 2, 1286"
887, -0.66°C,"January 2, 1285"
888, -0.52°C,"January 2, 1284"
889, -0.32°C,"January 2, 1283"
890, -0.29°C,"January 2, 1282"
891, -0.24°C,"January 2, 1281"
892, -0.24°C,"January 2, 1281"
893, -0.12°C,"January 2, 1280"
894, -0.12°C,"January 2, 1279"
895, -0.26°C,"January 2, 1278"
896, -0.34°C,"January 2, 1277"
897, -0.23°C,"January 2, 1276"
898, -0.23°C,"January 2, 1276"
899, -0.1°C,"January 2, 1275"
900, -0.21°C,"January 2, 1274"
901, -0.34°C,"January 2, 1273"
902, -0.23°C,"January 2, 1272"
903, -0.19°C,"January 2, 1271"
904, -0.19°C,"January 2, 1271"
905, -0.28°C,"January 2, 1270"
906, -0.28°C,"January 2, 1269"
907, -0.11°C,"January 2, 1268"
908, 0.01°C,"January 2, 1267"
909, -0.1°C,"January 2, 1266"
910, -0.36°C,"January 2, 1265"
911, -0.36°C,"January 2, 1265"
912, -0.46°C,"January 2, 1264"
913, -0.27°C,"January 2, 1263"
914, -0.1°C,"January 2, 1262"
915, -0.05°C,"January 2, 1261"
916, -0.11°C,"January 2, 1260"
917, -0.11°C,"January 2, 1260"
918, -0.3°C,"January 2, 1259"
919, -0.43°C,"January 2, 1258"
920, -0.34°C,"January 2, 1257"
921, -0.3°C,"January 2, 1256"
922, -0.42°C,"January 2, 1255"
923, -0.42°C,"January 2, 1255"
924, -0.48°C,"January 2, 1254"
925, -0.36°C,"January 2, 1253"
926, -0.24°C,"January 2, 1252"
927, -0.16°C,"January 2, 1251"
928, -0.01°C,"January 2, 1250"
929, -0.01°C,"January 2, 1250"
930, 0.1°C,"January 2, 1249"
931, 0.02°C,"January 2, 1248"
932, -0.17°C,"January 2, 1247"
933, -0.24°C,"January 2, 1246"
934, -0.18°C,"January 2, 1245"
935, -0.18°C,"January 2, 1245"
936, -0.17°C,"January 2, 1244"
937, -0.17°C,"January 2, 1243"
938, -0.09°C,"January 2, 1242"
939, -0.03°C,"January 2, 1241"
940, -0.06°C,"January 2, 1240"
941, -0.06°C,"January 2, 1240"
942, -0.11°C,"January 2, 1239"
943, -0.17°C,"January 2, 1238"
944, -0.29°C,"January 2, 1237"
945, -0.36°C,"January 2, 1236"
946, -0.33°C,"January 2, 1235"
947, -0.3°C,"January 2, 1234"
948, -0.28°C,"January 2, 1509"
949, -0.38°C,"January 2, 1508"
950, -0.38°C,"January 2, 1508"
951, -0.44°C,"January 2, 1507"
952, -0.48°C,"January 2, 1506"
953, -0.48°C,"January 2, 1505"
954, -0.43°C,"January 2, 1504"
955, -0.36°C,"January 2, 1503"
956, -0.36°C,"January 2, 1503"
957, -0.35°C,"January 2, 1502"
958, -0.49°C,"January 2, 1501"
959, -0.59°C,"January 2, 1500"
960, -0.5°C,"January 2, 1499"
961, -0.53°C,"January 2, 1498"
962, -0.53°C,"January 2, 1498"
963, -0.68°C,"January 2, 1497"
964, -0.62°C,"January 2, 1496"
965, -0.37°C,"January 2, 1495"
966, -0.24°C,"January 2, 1494"
967, -0.38°C,"January 2, 1493"
968, -0.38°C,"January 2, 1493"
969, -0.48°C,"January 2, 1492"
970, -0.21°C,"January 2, 1491"
971, 0.07°C,"January 2, 1490"
972, 0.08°C,"January 2, 1489"
973, -0.02°C,"January 2, 1488"
974, -0.02°C,"January 2, 1488"
975, -0.02°C,"January 2, 1487"
976, -0.01°C,"January 2, 1486"
977, -0.01°C,"January 2, 1485"
978, -0.1°C,"January 2, 1484"
979, -0.35°C,"January 2, 1483"
980, -0.35°C,"January 2, 1483"
981, -0.47°C,"January 2, 1482"
982, -0.42°C,"January 2, 1481"
983, -0.47°C,"January 2, 1480"
984, -0.5°C,"January 2, 1479"
985, -0.37°C,"January 2, 1478"
986, -0.31°C,"January 2, 1477"
987, -0.31°C,"January 2, 1477"
988, -0.46°C,"January 2, 1476"
989, -0.6°C,"January 2, 1475"
990, -0.55°C,"January 2, 1474"
991, -0.42°C,"January 2, 1473"
992, -0.33°C,"January 2, 1472"
993, -0.33°C,"January 2, 1472"
994, -0.24°C,"January 2, 1471"
995, -0.22°C,"January 2, 1470"
996, -0.38°C,"January 2, 1469"
997, -0.51°C,"January 2, 1468"
998, -0.46°C,"January 2, 1467"
999, -0.46°C,"January 2, 1467"
1000, -0.48°C,"January 2, 1466"
1001, -0.61°C,"January 2, 1465"
1002, -0.61°C,"January 2, 1464"
1003, -0.49°C,"January 2, 1463"
1004, -0.51°C,"January 2, 1462"
1005, -0.51°C,"January 2, 1462"
1006, -0.56°C,"January 2, 1461"
1007, -0.47°C,"January 2, 1460"
1008, -0.38°C,"January 2, 1459"
1009, -0.49°C,"January 2, 1458"
1010, -0.71°C,"January 2, 1457"
1011, -0.71°C,"January 2, 1457"
1012, -0.74°C,"January 2, 1456"
1013, -0.58°C,"January 2, 1455"
1014, -0.47°C,"January 2, 1454"
1015, -0.49°C,"January 2, 1453"
1016, -0.52°C,"January 2, 1452"
1017, -0.52°C,"January 2, 1452"
1018, -0.56°C,"January 2, 1451"
1019, -0.63°C,"January 2, 1450"
1020, -0.61°C,"January 2, 1449"
1021, -0.54°C,"January 2, 1448"
1022, -0.45°C,"January 2, 1447"
1023, -0.36°C,"January 2, 1446"
1024, -0.36°C,"January 2, 1446"
1025, -0.25°C,"January 2, 1445"
1026, -0.11°C,"January 2, 1444"
1027, -0.11°C,"January 2, 1443"
1028, -0.24°C,"January 2, 1442"
1029, -0.23°C,"January 2, 1441"
1030, -0.23°C,"January 2, 1441"
1031, -0.16°C,"January 2, 1440"
1032, -0.22°C,"January 2, 1439"
1033, -0.29°C,"January 2, 1438"
1034, -0.21°C,"January 2, 1437"
1035, -0.12°C,"January 2, 1436"
1036, -0.12°C,"January 2, 1436"
1037, -0.21°C,"January 2, 1435"
1038, -0.33°C,"January 2, 1434"
1039, -0.28°C,"January 2, 1433"
1040, -0.22°C,"January 2, 1432"
1041, -0.2°C,"January 2, 1431"
1042, -0.2°C,"January 2, 1431"
1043, -0.13°C,"January 2, 1430"
1044, -0.02°C,"January 2, 1429"
1045, 0.07°C,"January 2, 1428"
1046, 0°C,"January 2, 1427"
1047, -0.12°C,"January 2, 1426"
1048, -0.12°C,"January 2, 1426"
1049, -0.05°C,"January 2, 1425"
1050, 0.1°C,"January 2, 1424"
1051, 0.1°C,"January 2, 1423"
1052, -0.05°C,"January 2, 1422"
1053, -0.12°C,"January 2, 1421"
1054, -0.12°C,"January 2, 1421"
1055, -0.08°C,"January 2, 1420"
1056, -0.01°C,"January 2, 1419"
1057, 0.08°C,"January 2, 1418"
1058, 0.08°C,"January 2, 1417"
1059, -0.07°C,"January 2, 1416"
1060, -0.23°C,"January 2, 1415"
1061, -0.23°C,"January 2, 1415"
1062, -0.3°C,"January 2, 1414"
1063, -0.24°C,"January 2, 1413"
1064, -0.11°C,"January 2, 1412"
1065, -0.09°C,"January 2, 1411"
1066, -0.1°C,"January 2, 1410"
1067, -0.1°C,"January 2, 1410"
1068, -0.1°C,"January 2, 1409"
1069, -0.15°C,"January 2, 1408"
1070, -0.12°C,"January 2, 1407"
1071, 0.02°C,"January 2, 1406"
1072, -0.01°C,"January 2, 1405"
1073, -0.01°C,"January 2, 1405"
1074, -0.16°C,"January 2, 1404"
1075, -0.25°C,"January 2, 1403"
1076, -0.29°C,"January 2, 1402"
1077, -0.36°C,"January 2, 1401"
1078, -0.39°C,"January 2, 1400"
1079, -0.39°C,"January 2, 1400"
1080, -0.37°C,"January 2, 1399"
1081, -0.34°C,"January 2, 1398"
1082, -0.35°C,"January 2, 1397"
1083, -0.32°C,"January 2, 1396"
1084, -0.18°C,"January 2, 1395"
1085, -0.18°C,"January 2, 1395"
1086, -0.1°C,"January 2, 1394"
1087, -0.15°C,"January 2, 1393"
1088, -0.19°C,"January 2, 1392"
1089, -0.23°C,"January 2, 1391"
1090, -0.27°C,"January 2, 1390"
1091, -0.19°C,"January 2, 1389"
1092, -0.19°C,"January 2, 1389"
1093, -0.13°C,"January 2, 1388"
1094, -0.12°C,"January 2, 1387"
1095, -0.05°C,"January 2, 1386"
1096, -0.01°C,"January 2, 1385"
1097, -0.09°C,"January 2, 1384"
1098, -0.09°C,"January 2, 1384"
1099, -0.22°C,"January 2, 1383"
1100, -0.31°C,"January 2, 1382"
1101, -0.32°C,"January 2, 1381"
1102, -0.38°C,"January 2, 1380"
1103, -0.44°C,"January 2, 1379"
1104, -0.44°C,"January 2, 1379"
1105, -0.44°C,"January 2, 1378"
1106, -0.43°C,"January 2, 1377"
1107, -0.32°C,"January 2, 1376"
1108, -0.18°C,"January 2, 1375"
1109, -0.13°C,"January 2, 1374"
1110, -0.13°C,"January 2, 1374"
1111, -0.23°C,"January 2, 1373"
1112, -0.37°C,"January 2, 1372"
1113, -0.35°C,"January 2, 1371"
1114, -0.24°C,"January 2, 1370"
1115, -0.16°C,"January 2, 1369"
1116, -0.16°C,"January 2, 1369"
1117, -0.05°C,"January 2, 1368"
1118, -0.04°C,"January 2, 1367"
1119, -0.18°C,"January 2, 1366"
1120, -0.3°C,"January 2, 1365"
1121, -0.26°C,"January 2, 1364"
1122, -0.26°C,"January 2, 1364"
1123, -0.23°C,"January 2, 1363"
1124, -0.31°C,"January 2, 1362"
1125, -0.3°C,"January 2, 1361"
1126, -0.18°C,"January 2, 1360"
1127, -0.1°C,"January 2, 1359"
1128, -0.04°C,"January 2, 1358"
1129, -0.04°C,"January 2, 1358"
1130, 0.09°C,"January 2, 1357"
1131, 0.11°C,"January 2, 1356"
1132, -0.04°C,"January 2, 1355"
1133, -0.13°C,"January 2, 1354"
1134, -0.1°C,"January 2, 1353"
1135, -0.1°C,"January 2, 1353"
1136, -0.19°C,"January 2, 1352"
1137, -0.36°C,"January 2, 1351"
1138, -0.33°C,"January 2, 1350"
1139, -0.24°C,"January 2, 1349"
1140, -0.22°C,"January 2, 1348"
1141, -0.22°C,"January 2, 1348"
1142, -0.21°C,"January 2, 1347"
1143, -0.19°C,"January 2, 1346"
1144, -0.19°C,"January 2, 1345"
1145, -0.16°C,"January 2, 1344"
1146, -0.08°C,"January 2, 1343"
1147, -0.08°C,"January 2, 1343"
1148, -0.07°C,"January 2, 1342"
1149, -0.16°C,"January 2, 1341"
1150, -0.3°C,"January 2, 1340"
1151, -0.44°C,"January 2, 1339"
1152, -0.5°C,"January 2, 1338"
1153, -0.5°C,"January 2, 1338"
1154, -0.45°C,"January 2, 1337"
1155, -0.47°C,"January 2, 1336"
1156, -0.41°C,"January 2, 1335"
1157, -0.23°C,"January 2, 1334"
1158, -0.09°C,"January 2, 1333"
1159, -0.09°C,"January 2, 1333"
1160, -0.01°C,"January 2, 1332"
1161, 0.02°C,"January 2, 1331"
1162, -0.09°C,"January 2, 1330"
1163, -0.28°C,"January 2, 1329"
1164, -0.24°C,"January 2, 1328"
1165, -0.08°C,"January 2, 1327"
1166, -0.08°C,"January 2, 1327"
1167, -0.05°C,"January 2, 1326"
1168, -0.13°C,"January 2, 1325"
1169, -0.27°C,"January 2, 1324"
1170, -0.37°C,"January 2, 1323"
1171, -0.28°C,"January 2, 1322"
1172, -0.28°C,"January 2, 1322"
1173, -0.18°C,"January 2, 1321"
1174, -0.26°C,"January 2, 1320"
1175, -0.42°C,"January 2, 1319"
1176, -0.45°C,"January 2, 1318"
1177, -0.39°C,"January 2, 1317"
1178, -0.39°C,"January 2, 1317"
1179, -0.37°C,"January 2, 1316"
1180, -0.29°C,"January 2, 1315"
1181, -0.16°C,"January 2, 1314"
1182, -0.18°C,"January 2, 1313"
1183, -0.2°C,"January 2, 1312"
1184, -0.2°C,"January 2, 1312"
1185, -0.16°C,"January 2, 1311"
1186, -0.21°C,"January 2, 1310"
1187, -0.29°C,"January 2, 1309"
1188, -0.35°C,"January 2, 1308"
1189, -0.41°C,"January 2, 1307"
1190, -0.41°C,"January 2, 1307"
1191, -0.38°C,"January 2, 1306"
1192, -0.33°C,"January 2, 1305"
1193, -0.34°C,"January 2, 1304"
1194, -0.32°C,"January 2, 1303"
1195, -0.3°C,"January 2, 1302"
1196, -0.3°C,"January 2, 1302"
1197, -0.37°C,"January 2, 1301"
1198, -0.48°C,"January 2, 1300"
1199, -0.54°C,"January 2, 1299"
1200, -0.5°C,"January 2, 1298"
1201, -0.48°C,"January 2, 1297"
1202, -0.53°C,"January 2, 1296"
1203, -0.53°C,"January 2, 1296"
1204, -0.5°C,"January 2, 1295"
1205, -0.47°C,"January 2, 1294"
1206, -0.51°C,"January 2, 1293"
1207, -0.5°C,"January 2, 1292"
1208, -0.36°C,"January 2, 1291"
1209, -0.36°C,"January 2, 1291"
1210, -0.33°C,"January 2, 1290"
1211, -0.45°C,"January 2, 1289"
1212, -0.44°C,"January 2, 1288"
1213, -0.33°C,"January 2, 1287"
1214, -0.47°C,"January 2, 1286"
1215, -0.47°C,"January 2, 1286"
1216, -0.66°C,"January 2, 1285"
1217, -0.52°C,"January 2, 1284"
1218, -0.32°C,"January 2, 1283"
1219, -0.29°C,"January 2, 1282"
1220, -0.24°C,"January 2, 1281"
1221, -0.24°C,"January 2, 1281"
1222, -0.12°C,"January 2, 1280"
1223, -0.12°C,"January 2, 1279"
1224, -0.26°C,"January 2, 1278"
1225, -0.34°C,"January 2, 1277"
1226, -0.23°C,"January 2, 1276"
1227, -0.23°C,"January 2, 1276"
1228, -0.1°C,"January 2, 1275"
1229, -0.21°C,"January 2, 1274"
1230, -0.34°C,"January 2, 1273"
1231, -0.23°C,"January 2, 1272"
1232, -0.19°C,"January 2, 1271"
1233, -0.19°C,"January 2, 1271"
1234, -0.28°C,"January 2, 1270"
1235, -0.28°C,"January 2, 1269"
1236, -0.11°C,"January 2, 1268"
1237, 0.01°C,"January 2, 1267"
1238, -0.1°C,"January 2, 1266"
1239, -0.36°C,"January 2, 1265"
1240, -0.36°C,"January 2, 1265"
1241, -0.46°C,"January 2, 1264"
1242, -0.27°C,"January 2, 1263"
1243, -0.1°C,"January 2, 1262"
1244, -0.05°C,"January 2, 1261"
1245, -0.11°C,"January 2, 1260"
1246, -0.11°C,"January 2, 1260"
1247, -0.3°C,"January 2, 1259"
1248, -0.43°C,"January 2, 1258"
1249, -0.34°C,"January 2, 1257"
1250, -0.3°C,"January 2, 1256"
1251, -0.42°C,"January 2, 1255"
1252, -0.42°C,"January 2, 1255"
1253, -0.48°C,"January 2, 1254"
1254, -0.36°C,"January 2, 1253"
1255, -0.24°C,"January 2, 1252"
1256, -0.16°C,"January 2, 1251"
1257, -0.01°C,"January 2, 1250"
1258, -0.01°C,"January 2, 1250"
1259, 0.1°C,"January 2, 1249"
1260, 0.02°C,"January 2, 1248"
1261, -0.17°C,"January 2, 1247"
1262, -0.24°C,"January 2, 1246"
1263, -0.18°C,"January 2, 1245"
1264, -0.18°C,"January 2, 1245"
1265, -0.17°C,"January 2, 1244"
1266, -0.17°C,"January 2, 1243"
1267, -0.09°C,"January 2, 1242"
1268, -0.03°C,"January 2, 1241"
1269, -0.06°C,"January 2, 1240"
1270, -0.06°C,"January 2, 1240"
1271, -0.11°C,"January 2, 1239"
1272, -0.17°C,"January 2, 1238"
1273, -0.29°C,"January 2, 1237"
1274, -0.36°C,"January 2, 1236"
1275, -0.33°C,"January 2, 1235"
1276, -0.3°C,"January 2, 1234"
1277, -0.3°C,"January 2, 1234"
1278, -0.23°C,"January 2, 1233"
1279, -0.06°C,"January 2, 1232"
1280, 0.08°C,"January 2, 1231"
1281, 0.17°C,"January 2, 1230"
1282, 0.2°C,"January 2, 1229"
1283, 0.2°C,"January 2, 1229"
1284, 0.03°C,"January 2, 1228"
1285, -0.15°C,"January 2, 1227"
1286, -0.07°C,"January 2, 1226"
1287, 0°C,"January 2, 1225"
1288, -0.01°C,"January 2, 1224"
1289, -0.01°C,"January 2, 1224"
1290, 0°C,"January 2, 1223"
1291, -0.02°C,"January 2, 1222"
1292, -0.07°C,"January 2, 1221"
1293, -0.07°C,"January 2, 1220"
1294, -0.21°C,"January 2, 1219"
1295, -0.21°C,"January 2, 1219"
1296, -0.47°C,"January 2, 1218"
1297, -0.48°C,"January 2, 1217"
1298, -0.29°C,"January 2, 1216"
1299, -0.19°C,"January 2, 1215"
1300, -0.11°C,"January 2, 1214"
1301, -0.11°C,"January 2, 1214"
1302, -0.03°C,"January 2, 1213"
1303, 0°C,"January 2, 1212"
1304, -0.02°C,"January 2, 1211"
1305, -0.1°C,"January 2, 1210"
1306, -0.23°C,"January 2, 1209"
1307, -0.34°C,"January 2, 1208"
1308, -0.34°C,"January 2, 1208"
1309, -0.35°C,"January 2, 1207"
1310, -0.27°C,"January 2, 1206"
1311, -0.11°C,"January 2, 1205"
1312, 0.02°C,"January 2, 1204"
1313, 0.03°C,"January 2, 1203"
1314, 0.03°C,"January 2, 1203"
1315, -0.01°C,"January 2, 1202"
1316, -0.09°C,"January 2, 1201"
1317, -0.21°C,"January 2, 1200"
1318, -0.28°C,"January 2, 1199"
1319, -0.23°C,"January 2, 1198"
1320, -0.23°C,"January 2, 1198"
1321, -0.24°C,"January 2, 1197"
1322, -0.27°C,"January 2, 1196"
1323, -0.21°C,"January 2, 1195"
1324, -0.2°C,"January 2, 1194"
1325, -0.18°C,"January 2, 1193"
1326, -0.18°C,"January 2, 1193"
1327, -0.13°C,"January 2, 1192"
1328, -0.1°C,"January 2, 1191"
1329, -0.08°C,"January 2, 1190"
1330, -0.08°C,"January 2, 1189"
1331, -0.1°C,"January 2, 1188"
1332, -0.1°C,"January 2, 1188"
1333, -0.14°C,"January 2, 1187"
1334, -0.14°C,"January 2, 1186"
1335, -0.05°C,"January 2, 1185"
1336, 0.02°C,"January 2, 1184"
1337, 0.06°C,"January 2, 1183"
1338, 0.06°C,"January 2, 1183"
1339, 0.08°C,"January 2, 1182"
1340, 0.01°C,"January 2, 1181"
1341, -0.05°C,"January 2, 1180"
1342, 0.03°C,"January 2, 1179"
1343, 0.1°C,"January 2, 1178"
1344, 0.01°C,"January 2, 1177"
1345, 0.01°C,"January 2, 1177"
1346, -0.09°C,"January 2, 1176"
1347, -0.09°C,"January 2, 1175"
1348, -0.02°C,"January 2, 1174"
1349, -0.05°C,"January 2, 1173"
1350, -0.19°C,"January 2, 1172"
1351, -0.19°C,"January 2, 1172"
1352, -0.25°C,"January 2, 1171"
1353, -0.14°C,"January 2, 1170"
1354, -0.03°C,"January 2, 1169"
1355, -0.03°C,"January 2, 1168"
1356, 0.01°C,"January 2, 1167"
1357, 0.01°C,"January 2, 1167"
1358, 0.05°C,"January 2, 1166"
1359, 0°C,"January 2, 1165"
1360, -0.07°C,"January 2, 1164"
1361, -0.12°C,"January 2, 1163"
1362, -0.14°C,"January 2, 1162"
1363, -0.14°C,"January 2, 1162"
1364, -0.05°C,"January 2, 1161"
1365, 0.07°C,"January 2, 1160"
1366, 0.09°C,"January 2, 1159"
1367, 0.02°C,"January 2, 1158"
1368, -0.06°C,"January 2, 1157"
1369, -0.06°C,"January 2, 1157"
1370, -0.04°C,"January 2, 1156"
1371, -0.01°C,"January 2, 1155"
1372, -0.05°C,"January 2, 1154"
1373, -0.09°C,"January 2, 1153"
1374, -0.2°C,"January 2, 1152"
1375, -0.2°C,"January 2, 1152"
1376, -0.34°C,"January 2, 1151"
1377, -0.27°C,"January 2, 1150"
1378, -0.13°C,"January 2, 1149"
1379, -0.12°C,"January 2, 1148"
1380, -0.11°C,"January 2, 1147"
1381, -0.04°C,"January 2, 1146"
1382, -0.04°C,"January 2, 1146"
1383, 0.06°C,"January 2, 1145"
1384, 0.15°C,"January 2, 1144"
1385, 0.1°C,"January 2, 1143"
1386, -0.02°C,"January 2, 1142"
1387, -0.11°C,"January 2, 1141"
1388, -0.11°C,"January 2, 1141"
1389, -0.16°C,"January 2, 1140"
1390, -0.14°C,"January 2, 1139"
1391, -0.04°C,"January 2, 1138"
1392, 0°C,"January 2, 1137"
1393, -0.05°C,"January 2, 1136"
1394, -0.05°C,"January 2, 1136"
1395, -0.11°C,"January 2, 1135"
1396, -0.24°C,"January 2, 1134"
1397, -0.33°C,"January 2, 1133"
1398, -0.18°C,"January 2, 1132"
1399, 0.02°C,"January 2, 1131"
1400, 0.02°C,"January 2, 1131"
1401, 0.06°C,"January 2, 1130"
1402, 0°C,"January 2, 1129"
1403, -0.14°C,"January 2, 1128"
1404, -0.31°C,"January 2, 1127"
1405, -0.26°C,"January 2, 1126"
1406, -0.26°C,"January 2, 1126"
1407, -0.09°C,"January 2, 1125"
1408, -0.07°C,"January 2, 1124"
1409, -0.08°C,"January 2, 1123"
1410, -0.05°C,"January 2, 1122"
1411, -0.04°C,"January 2, 1121"
1412, -0.04°C,"January 2, 1121"
1413, 0.05°C,"January 2, 1120"
1414, 0.13°C,"January 2, 1119"
1415, 0.15°C,"January 2, 1118"
1416, 0.21°C,"January 2, 1117"
1417, 0.27°C,"January 2, 1116"
1418, 0.24°C,"January 2, 1115"
1419, 0.24°C,"January 2, 1115"
1420, 0.14°C,"January 2, 1114"
1421, 0.13°C,"January 2, 1113"
1422, 0.19°C,"January 2, 1112"
1423, 0.17°C,"January 2, 1111"
1424, 0.14°C,"January 2, 1110"
1425, 0.14°C,"January 2, 1110"
1426, 0.14°C,"January 2, 1109"
1427, 0.12°C,"January 2, 1108"
1428, 0.22°C,"January 2, 1107"
1429, 0.43°C,"January 2, 1106"
1430, 0.47°C,"January 2, 1105"
1431, 0.47°C,"January 2, 1105"
1432, 0.19°C,"January 2, 1104"
1433, -0.11°C,"January 2, 1103"
1434, -0.1°C,"January 2, 1102"
1435, 0.02°C,"January 2, 1101"
1436, 0.06°C,"January 2, 1100"
1437, 0.06°C,"January 2, 1100"
1438, -0.08°C,"January 2, 1099"
1439, -0.24°C,"January 2, 1098"
1440, -0.14°C,"January 2, 1097"
1441, 0°C,"January 2, 1096"
1442, 0.06°C,"January 2, 1095"
1443, 0.06°C,"January 2, 1095"
1444, 0.08°C,"January 2, 1094"
1445, 0.1°C,"January 2, 1093"
1446, 0.21°C,"January 2, 1092"
1447, 0.28°C,"January 2, 1091"
1448, 0.23°C,"January 2, 1090"
1449, 0.23°C,"January 2, 1090"
1450, 0.16°C,"January 2, 1089"
1451, 0.18°C,"January 2, 1088"
1452, 0.23°C,"January 2, 1087"
1453, 0.21°C,"January 2, 1086"
1454, 0.14°C,"January 2, 1085"
1455, 0.09°C,"January 2, 1084"
1456, 0.09°C,"January 2, 1084"
1457, 0.07°C,"January 2, 1083"
1458, 0.12°C,"January 2, 1082"
1459, 0.14°C,"January 2, 1081"
1460, 0.09°C,"January 2, 1080"
1461, -0.02°C,"January 2, 1079"
1462, -0.02°C,"January 2, 1079"
1463, -0.13°C,"January 2, 1078"
1464, -0.11°C,"January 2, 1077"
1465, -0.05°C,"January 2, 1076"
1466, -0.06°C,"January 2, 1075"
1467, -0.14°C,"January 2, 1074"
1468, -0.14°C,"January 2, 1074"
1469, -0.17°C,"January 2, 1073"
1470, -0.16°C,"January 2, 1072"
1471, -0.22°C,"January 2, 1071"
1472, -0.31°C,"January 2, 1070"
1473, -0.32°C,"January 2, 1069"
1474, -0.32°C,"January 2, 1069"
1475, -0.3°C,"January 2, 1068"
1476, -0.24°C,"January 2, 1067"
1477, -0.02°C,"January 2, 1066"
1478, 0.17°C,"January 2, 1065"
1479, 0.09°C,"January 2, 1064"
1480, 0.09°C,"January 2, 1064"
1481, -0.03°C,"January 2, 1063"
1482, 0.1°C,"January 2, 1062"
1483, 0.23°C,"January 2, 1061"
1484, 0.08°C,"January 2, 1060"
1485, -0.1°C,"January 2, 1059"
